log records count: 1191

Patch 	005F8E9A/01 ->Apply       (HD3), z-order = 0
Patch 	005F8F56/03 ->Apply       (HD3), z-order = 0
Patch 	005F9F00/01 ->Apply       (HD3), z-order = 0
Patch 	005F9F7B/03 ->Apply       (HD3), z-order = 0
Patch 	005FA095/01 ->Apply       (HD3), z-order = 0
Patch 	005FA110/03 ->Apply       (HD3), z-order = 0
HiHook	0040EBF0/05 ->Apply       (HD3), z-order = 0
Patch 	00402F00/04 ->Apply       (HD3), z-order = 0
Patch 	00402F49/04 ->Apply       (HD3), z-order = 0
HiHook	00530CB0/05 ->Apply       (HD3), z-order = 0
HiHook	00530600/05 ->Apply       (HD3), z-order = 0
HiHook	0052EFB0/05 ->Apply       (HD3), z-order = 0
HiHook	004E76B0/05 ->Apply       (HD3), z-order = 0
Patch 	005D52CF/13 ->Apply       (HD3), z-order = 0
Patch 	0057B521/04 ->Apply       (HD3), z-order = 0
Patch 	0057B5CB/04 ->Apply       (HD3), z-order = 0
Patch 	0057B675/04 ->Apply       (HD3), z-order = 0
HiHook	0052FDD3/05 ->Apply       (HD3), z-order = 0
HiHook	004F8414/06 ->Apply       (HD3), z-order = 0
HiHook	004F842F/06 ->Apply       (HD3), z-order = 0
HiHook	005CCD80/05 ->Apply       (HD3), z-order = 0
HiHook	005BB500/05 ->Apply       (HD3), z-order = 0
HiHook	005967D0/06 ->Apply       (HD3), z-order = 0
HiHook	00401510/05 ->Apply       (HD3), z-order = 0
HiHook	00403F60/05 ->Apply       (HD3), z-order = 0
HiHook	00403280/06 ->Apply       (HD3), z-order = 0
HiHook	00403420/05 ->Apply       (HD3), z-order = 0
HiHook	004037A0/05 ->Apply       (HD3), z-order = 0
HiHook	004038C0/05 ->Apply       (HD3), z-order = 0
HiHook	004032E0/05 ->Apply       (HD3), z-order = 0
HiHook	00403560/06 ->Apply       (HD3), z-order = 0
Patch 	004CB068/04 ->Apply       (HD3), z-order = 0
Patch 	004CBB74/04 ->Apply       (HD3), z-order = 0
Patch 	00450AD9/04 ->Apply       (HD3), z-order = 0
Patch 	00450F31/04 ->Apply       (HD3), z-order = 0
Patch 	00451528/04 ->Apply       (HD3), z-order = 0
Patch 	004517B9/04 ->Apply       (HD3), z-order = 0
Patch 	00451F01/04 ->Apply       (HD3), z-order = 0
Patch 	0045288D/04 ->Apply       (HD3), z-order = 0
Patch 	00452F58/04 ->Apply       (HD3), z-order = 0
Patch 	005FAAAE/04 ->Apply       (HD3), z-order = 0
HiHook	00408710/06 ->Apply       (HD3), z-order = 0
HiHook	004099D0/06 ->Apply       (HD3), z-order = 0
HiHook	0040E1CC/05 ->Apply       (HD3), z-order = 0
HiHook	0040EB47/05 ->Apply       (HD3), z-order = 0
HiHook	004089DC/05 ->Apply       (HD3), z-order = 0
HiHook	00409740/06 ->Apply       (HD3), z-order = 0
HiHook	00402E70/05 ->Apply       (HD3), z-order = 0
Patch 	00452708/03 ->Apply       (HD3), z-order = 0
LoHook	00452723/06 ->Apply       (HD3), z-order = 0
HiHook	005B10B0/05 ->Apply       (HD3), z-order = 0
HiHook	004DD540/05 ->Apply       (HD3), z-order = 0
HiHook	005D0D10/07 ->Apply       (HD3), z-order = 0
HiHook	005AAD90/05 ->Apply       (HD3), z-order = 0
HiHook	005B0100/06 ->Apply       (HD3), z-order = 0
HiHook	005B0BC0/06 ->Apply       (HD3), z-order = 0
Patch 	005AED73/04 ->Apply       (HD3), z-order = 0
Patch 	005AED78/04 ->Apply       (HD3), z-order = 0
Patch 	005AEF71/04 ->Apply       (HD3), z-order = 0
Patch 	005AEF76/04 ->Apply       (HD3), z-order = 0
Patch 	005AEFD6/04 ->Apply       (HD3), z-order = 0
Patch 	005AEFDB/04 ->Apply       (HD3), z-order = 0
HiHook	005AF150/06 ->Apply       (HD3), z-order = 0
Patch 	005AF97C/01 ->Apply       (HD3), z-order = 0
Patch 	005AFA3B/04 ->Apply       (HD3), z-order = 0
Patch 	005AFA40/04 ->Apply       (HD3), z-order = 0
Patch 	005B040B/04 ->Apply       (HD3), z-order = 0
Patch 	005B0410/04 ->Apply       (HD3), z-order = 0
Patch 	005B093C/04 ->Apply       (HD3), z-order = 0
Patch 	005B0941/04 ->Apply       (HD3), z-order = 0
Patch 	005B0987/04 ->Apply       (HD3), z-order = 0
Patch 	005B098C/04 ->Apply       (HD3), z-order = 0
Patch 	005B0A21/04 ->Apply       (HD3), z-order = 0
Patch 	005B0A26/04 ->Apply       (HD3), z-order = 0
Patch 	005B14E9/04 ->Apply       (HD3), z-order = 0
Patch 	005B14EE/04 ->Apply       (HD3), z-order = 0
Patch 	005B1535/04 ->Apply       (HD3), z-order = 0
Patch 	005B153A/04 ->Apply       (HD3), z-order = 0
Patch 	005B157C/04 ->Apply       (HD3), z-order = 0
Patch 	005B1581/04 ->Apply       (HD3), z-order = 0
Patch 	00402F99/04 ->Apply       (HD3), z-order = 0
Patch 	00402FBB/13 ->Apply       (HD3), z-order = 0
Patch 	004033FC/04 ->Apply       (HD3), z-order = 0
Patch 	00403401/04 ->Apply       (HD3), z-order = 0
Patch 	00403537/04 ->Apply       (HD3), z-order = 0
